order_id,order_date,customer_id,customer_name,region,country,category,product,quantity,unit_price,discount,payment_method
100027,2026-07-08,C03416,Customer 3416,South,India,Home & Kitchen,Coffee Maker,5,77.46,0.071,UPI
100028,2025-02-25,C02048,Customer 2048,North,India,Electronics,Bluetooth Speaker,1,65.85,0.079,Net Banking
100029,2026-04-19,C03355,Customer 3355,West,India,Electronics,Bluetooth Speaker,2,61.31,0.124,UPI
100030,2025-01-07,C03045,Customer 3045,South,India,Clothing,Sneakers,2,84.58,0.091,Credit Card
100031,2025-12-24,C01438,Customer 1438,North,India,Sports,Tennis Racket,2,110.13,0.115,Wallet
100032,2024-11-21,C01554,Customer 1554,East,India,Books,Fiction Book,3,16.76,0.104,Credit Card
100033,2026-02-04,C01894,Customer 1894,West,India,Home & Kitchen,Coffee Maker,1,93.19,0.066,UPI
100034,2024-11-15,C02739,Customer 2739,South,India,Home & Kitchen,Cookware Set,3,141.26,0.011,UPI
100035,2025-10-21,C01184,Customer 1184,West,India,Home & Kitchen,Air Fryer,1,120.38,0.175,UPI
100036,2026-03-10,C02946,Customer 2946,South,India,Electronics,Smartphone,1,709.56,0.133,UPI
100037,2025-12-12,C01575,Customer 1575,South,India,Electronics,Bluetooth Speaker,3,69.81,0.17,Credit Card
100038,2025-04-18,C02410,Customer 2410,South,India,Home & Kitchen,Cookware Set,1,154.31,0.072,Credit Card
100039,2026-06-13,C00447,Customer 447,North,India,Electronics,Bluetooth Speaker,3,74.75,0.118,UPI
100040,2025-05-08,C02072,Customer 2072,South,India,Clothing,Sneakers,3,72.38,0.066,Credit Card
100041,2026-02-27,C02911,Customer 2911,Central,India,Home & Kitchen,Air Fryer,2,135.23,0.136,UPI
100042,2026-03-14,C00324,Customer 324,North,India,Sports,Dumbbells,1,72.43,0.186,Credit Card
100043,2024-11-06,C00256,Customer 256,Central,India,Clothing,Sneakers,1,91.94,0.183,UPI
100044,2025-01-27,C02394,Customer 2394,North,India,Home & Kitchen,Cookware Set,3,145.19,0.102,UPI
100045,2026-07-28,C03262,Customer 3262,South,India,Sports,Dumbbells,1,63.6,0.14,UPI
100046,2025-11-11,C01976,Customer 1976,East,India,Sports,Dumbbells,2,62.11,0.128,Debit Card
100047,2024-09-13,C02835,Customer 2835,West,India,Home & Kitchen,Vacuum Cleaner,1,235.28,0.108,Debit Card
100048,2025-12-29,C00897,Customer 897,North,India,Home & Kitchen,Air Fryer,1,118.85,0.124,Wallet
100049,2025-02-26,C00527,Customer 527,North,India,Clothing,Sneakers,2,76.76,0.057,Credit Card
100050,2025-05-07,C01826,Customer 1826,East,India,Electronics,Bluetooth Speaker,1,64.62,0.015,UPI
100051,2026-04-01,C01715,Customer 1715,South,India,Electronics,Laptop,3,779.74,0.124,UPI
100052,2025-08-27,C02053,Customer 2053,East,India,Electronics,Smartwatch,2,180.18,0.04,Wallet
100053,2026-07-08,C03410,Customer 3410,West,India,Sports,Football,3,31.44,0.053,UPI
100054,2025-08-27,C01237,Customer 1237,North,India,Clothing,T-Shirt,2,25.09,0.076,Net Banking
100055,2025-11-13,C03066,Customer 3066,West,India,Clothing,T-Shirt,4,22.84,0.183,Debit Card
100056,2025-12-06,C00862,Customer 862,North,India,Sports,Dumbbells,1,65.2,0.096,Net Banking
100057,2026-02-04,C00523,Customer 523,Central,India,Home & Kitchen,Cookware Set,3,133.88,0.051,Credit Card
100058,2025-10-02,C03026,Customer 3026,Central,India,Clothing,Jeans,1,68.38,0.032,Credit Card
100059,2025-05-20,C00734,Customer 734,West,India,Electronics,Smartphone,3,574.11,0.09,UPI
100060,2025-06-04,C01099,Customer 1099,Central,India,Electronics,Smartwatch,3,172.29,0.088,UPI
100061,2024-09-12,C00415,Customer 415,West,India,Clothing,Jeans,3,55.22,0.036,UPI
100062,2026-06-21,C02554,Customer 2554,North,India,Home & Kitchen,Air Fryer,1,135.82,0.107,UPI
100063,2025-07-08,C01370,Customer 1370,North,India,Clothing,T-Shirt,1,27.85,0.01,Debit Card
100064,2026-04-12,C02233,Customer 2233,North,India,Sports,Yoga Mat,3,33.08,0.041,Credit Card
100065,2025-07-04,C01390,Customer 1390,South,India,Clothing,T-Shirt,2,24.98,0.175,Debit Card
100066,2025-12-03,C00298,Customer 298,East,India,Clothing,Jacket,2,102.03,0.036,UPI
100067,2026-03-03,C00206,Customer 206,East,India,Clothing,Jacket,1,121.02,0.093,Debit Card
100068,2025-08-23,C03496,Customer 3496,West,India,Home & Kitchen,Table Lamp,1,45.34,0.121,Credit Card
100069,2025-07-27,C03227,Customer 3227,South,India,Electronics,Laptop,2,817.1,0.2,Credit Card
100070,2025-08-22,C01257,Customer 1257,North,India,Home & Kitchen,Air Fryer,2,104.02,0.184,UPI
100071,2025-11-25,C01246,Customer 1246,North,India,Electronics,Smartwatch,5,180.45,0.136,Credit Card
100072,2025-08-12,C01828,Customer 1828,Central,India,Home & Kitchen,Air Fryer,2,132.75,0.041,UPI
100073,2026-03-07,C00357,Customer 357,South,India,Sports,Yoga Mat,5,30.91,0.047,Credit Card
100074,2025-12-21,C01107,Customer 1107,South,India,Electronics,Smartwatch,1,193.39,0.074,Net Banking
100075,2026-04-11,C02228,Customer 2228,North,India,Electronics,Laptop,2,884.73,0.234,Debit Card
100076,2026-04-05,C01720,Customer 1720,Central,India,Home & Kitchen,Vacuum Cleaner,3,240.81,0.127,Credit Card
100077,2026-04-05,C02191,Customer 2191,North,India,Home & Kitchen,Coffee Maker,2,101.56,0.097,UPI
100078,2025-03-18,C02797,Customer 2797,East,India,Clothing,Jeans,2,53.09,0.11,Wallet
100079,2025-06-25,C01822,Customer 1822,North,India,Clothing,T-Shirt,1,25.0,0.175,UPI
100080,2026-01-18,C03111,Customer 3111,North,India,Sports,Football,1,34.22,0.066,Credit Card
100081,2025-06-02,C03115,Customer 3115,West,India,Clothing,Jacket,2,94.89,0.104,UPI
100082,2025-12-18,C01643,Customer 1643,East,India,Home & Kitchen,Cookware Set,2,161.32,0.087,Debit Card
100083,2025-07-13,C03060,Customer 3060,West,India,Sports,Yoga Mat,3,29.79,0.06,UPI
100084,2025-07-23,C02920,Customer 2920,North,India,Electronics,Smartphone,3,717.78,0.086,UPI
100085,2026-03-06,C01504,Customer 1504,Central,India,Electronics,Smartphone,2,718.53,0.119,UPI
100086,2024-12-01,C01806,Customer 1806,East,India,Electronics,Laptop,2,802.01,0.116,UPI
100087,2026-05-14,C02274,Customer 2274,Central,India,Clothing,Jeans,2,55.1,0.176,UPI
100088,2025-11-16,C01775,Customer 1775,North,India,Home & Kitchen,Coffee Maker,2,100.43,0.065,Credit Card
100089,2024-09-16,C00823,Customer 823,South,India,Electronics,Wireless Headphones,2,88.02,0.113,UPI
100090,2024-10-08,C01219,Customer 1219,South,India,Clothing,Jacket,2,112.27,0.034,UPI
100091,2025-06-04,C00785,Customer 785,West,India,Electronics,Smartwatch,1,173.36,0.096,Debit Card
100092,2026-08-14,C02020,Customer 2020,West,India,Clothing,Jeans,4,60.91,0.015,Net Banking
100093,2024-09-21,C01730,Customer 1730,East,India,Home & Kitchen,Cookware Set,1,156.28,0.126,Wallet
100094,2025-12-03,C03076,Customer 3076,North,India,Home & Kitchen,Air Fryer,1,132.78,0.199,Credit Card
100095,2026-02-02,C03100,Customer 3100,North,India,Home & Kitchen,Air Fryer,4,126.47,0.156,Wallet
100096,2025-02-18,C00071,Customer 71,North,India,Clothing,Jeans,2,59.7,0.078,Credit Card
100097,2024-12-04,C00862,Customer 862,West,India,Home & Kitchen,Table Lamp,3,42.08,0.153,Net Banking
100098,2026-02-16,C00243,Customer 243,South,India,Electronics,Wireless Headphones,1,80.67,0.018,Credit Card
100099,2026-03-23,C01526,Customer 1526,North,India,Electronics,Smartphone,2,630.9,0.124,Debit Card
100100,2025-11-03,C00280,Customer 280,South,India,Books,Data Science Book,2,38.05,0.239,Debit Card
100101,2026-03-27,C00420,Customer 420,North,India,Books,Business Book,2,29.8,0.123,Credit Card
100102,2025-11-07,C03486,Customer 3486,Central,India,Clothing,T-Shirt,4,23.99,0.085,Credit Card
100103,2025-09-29,C02818,Customer 2818,South,India,Electronics,Bluetooth Speaker,2,64.16,0.081,Debit Card
100104,2025-10-12,C00758,Customer 758,Central,India,Books,Data Science Book,2,45.21,0.115,UPI
100105,2025-08-17,C03106,Customer 3106,West,India,Sports,Tennis Racket,3,86.57,0.097,UPI
100106,2026-03-31,C03406,Customer 3406,East,India,Clothing,Jeans,2,60.18,0.073,Credit Card
100107,2025-03-27,C00049,Customer 49,East,India,Home & Kitchen,Table Lamp,1,50.84,0.091,Net Banking
100108,2026-02-28,C03326,Customer 3326,West,India,Electronics,Smartwatch,1,205.43,0.008,UPI
100109,2025-06-27,C01598,Customer 1598,West,India,Electronics,Wireless Headphones,1,82.68,0.14,Debit Card
100110,2025-07-06,C02977,Customer 2977,North,India,Books,Python Book,2,35.6,0.158,Credit Card
100111,2025-01-31,C01704,Customer 1704,Central,India,Home & Kitchen,Vacuum Cleaner,5,194.56,0.137,Credit Card
100112,2026-02-15,C01609,Customer 1609,South,India,Electronics,Laptop,3,946.13,0.08,Credit Card
100113,2026-02-10,C02931,Customer 2931,South,India,Home & Kitchen,Cookware Set,2,133.21,0.119,Credit Card
100114,2025-05-03,C02178,Customer 2178,South,India,Clothing,Backpack,1,51.9,0.122,Credit Card
100115,2024-10-19,C01175,Customer 1175,West,India,Electronics,Laptop,2,873.75,0.083,UPI
100116,2025-09-12,C00670,Customer 670,South,India,Sports,Yoga Mat,2,29.84,0.162,Credit Card
100117,2026-07-01,C00704,Customer 704,South,India,Sports,Tennis Racket,3,99.3,0.145,Debit Card
100118,2025-02-08,C01289,Customer 1289,North,India,Clothing,Jeans,1,65.45,0.154,Debit Card
100119,2026-04-14,C00206,Customer 206,South,India,Home & Kitchen,Table Lamp,2,48.48,0.117,UPI
100120,2025-01-21,C01327,Customer 1327,North,India,Clothing,Jeans,2,65.28,0.016,Net Banking
100121,2024-09-14,C00936,Customer 936,Central,India,Clothing,Sneakers,1,80.29,0.0,UPI
100122,2024-11-09,C00858,Customer 858,South,India,Clothing,Sneakers,2,96.13,0.072,UPI
100123,2026-04-30,C03024,Customer 3024,Central,India,Electronics,Smartphone,1,562.23,0.053,Credit Card
100124,2025-12-19,C01698,Customer 1698,West,India,Home & Kitchen,Coffee Maker,1,80.17,0.095,UPI
100125,2026-06-22,C02449,Customer 2449,West,India,Electronics,Smartwatch,1,161.1,0.036,Credit Card
100126,2026-05-22,C01422,Customer 1422,Central,India,Home & Kitchen,Table Lamp,2,44.29,0.036,Debit Card
100127,2025-06-28,C00893,Customer 893,North,India,Home & Kitchen,Cookware Set,1,153.31,0.0,Wallet
100128,2025-10-19,C02508,Customer 2508,East,India,Electronics,Smartwatch,1,188.28,0.023,Net Banking
100129,2026-05-24,C01754,Customer 1754,North,India,Electronics,Laptop,2,943.8,0.074,Debit Card
100130,2025-06-28,C03333,Customer 3333,North,India,Clothing,Jeans,2,51.16,0.066,Net Banking
100131,2025-01-16,C00107,Customer 107,South,India,Electronics,Smartphone,2,576.6,0.156,Net Banking
100132,2025-11-24,C01834,Customer 1834,West,India,Books,Business Book,2,27.62,0.081,UPI
100133,2026-05-07,C00621,Customer 621,West,India,Clothing,Jacket,1,111.56,0.011,Wallet
100134,2026-05-25,C00563,Customer 563,South,India,Home & Kitchen,Air Fryer,1,108.5,0.083,Wallet
100135,2026-07-19,C01764,Customer 1764,West,India,Clothing,Sneakers,1,74.14,0.125,UPI
100136,2025-12-10,C00682,Customer 682,North,India,Electronics,Laptop,1,883.79,0.0,Debit Card
100137,2025-02-21,C01189,Customer 1189,North,India,Books,Fiction Book,2,17.01,0.166,Debit Card
100138,2026-06-13,C02905,Customer 2905,North,India,Home & Kitchen,Table Lamp,4,47.79,0.122,Credit Card
100139,2025-12-30,C01805,Customer 1805,East,India,Sports,Yoga Mat,1,27.61,0.176,Net Banking
100140,2024-12-03,C00043,Customer 43,East,India,Electronics,Laptop,1,846.94,0.125,UPI
100141,2025-01-06,C02633,Customer 2633,South,India,Home & Kitchen,Coffee Maker,3,96.54,0.075,UPI
100142,2024-11-13,C00374,Customer 374,North,India,Home & Kitchen,Coffee Maker,2,81.93,0.096,UPI
100143,2026-05-06,C03120,Customer 3120,East,India,Books,Business Book,5,29.57,0.072,Net Banking
100144,2024-11-26,C02134,Customer 2134,West,India,Clothing,Backpack,1,53.37,0.145,UPI
100145,2026-07-28,C00369,Customer 369,North,India,Home & Kitchen,Coffee Maker,3,82.34,0.056,Net Banking
100146,2025-12-29,C02970,Customer 2970,West,India,Electronics,Bluetooth Speaker,3,75.52,0.118,UPI
100147,2026-04-30,C00295,Customer 295,East,India,Home & Kitchen,Cookware Set,4,151.96,0.162,UPI
100148,2025-05-30,C02497,Customer 2497,East,India,Clothing,Jeans,1,51.98,0.112,Credit Card
100149,2026-05-20,C02800,Customer 2800,North,India,Home & Kitchen,Table Lamp,2,43.19,0.103,Credit Card
100150,2024-10-30,C00571,Customer 571,Central,India,Electronics,Bluetooth Speaker,1,71.77,0.122,Credit Card
100151,2025-10-22,C00767,Customer 767,East,India,Sports,Running Shoes,2,81.61,0.062,UPI
100152,2026-04-15,C03253,Customer 3253,South,India,Books,Self Help Book,1,25.09,0.0,Credit Card
100153,2024-12-08,C01186,Customer 1186,Central,India,Electronics,Wireless Headphones,2,86.74,0.045,Credit Card
100154,2026-05-15,C01945,Customer 1945,West,India,Clothing,Sneakers,1,84.31,0.056,UPI
100155,2025-04-24,C03113,Customer 3113,West,India,Electronics,Smartwatch,1,200.55,0.118,UPI
100156,2025-05-23,C02072,Customer 2072,West,India,Clothing,Backpack,3,53.05,0.05,Debit Card
100157,2026-05-27,C01673,Customer 1673,North,India,Home & Kitchen,Cookware Set,2,172.44,0.057,Credit Card
100158,2025-12-09,C02602,Customer 2602,West,India,Clothing,Jacket,3,118.49,0.141,Debit Card
100159,2026-04-16,C02309,Customer 2309,South,India,Clothing,Sneakers,1,91.03,0.121,Credit Card
100160,2026-06-13,C01965,Customer 1965,Central,India,Sports,Tennis Racket,2,94.9,0.166,UPI
100161,2026-05-04,C00795,Customer 795,South,India,Electronics,Smartphone,1,682.44,0.094,UPI
100162,2026-05-12,C02949,Customer 2949,North,India,Books,Self Help Book,1,18.92,0.016,Credit Card
100163,2026-06-14,C01186,Customer 1186,South,India,Electronics,Laptop,3,835.54,0.217,Credit Card
100164,2026-03-23,C00966,Customer 966,West,India,Electronics,Wireless Headphones,1,85.85,0.133,UPI
100165,2026-02-25,C01008,Customer 1008,East,India,Clothing,Jeans,1,65.88,0.067,UPI
100166,2025-01-23,C00345,Customer 345,West,India,Home & Kitchen,Vacuum Cleaner,4,191.44,0.147,Net Banking
100167,2025-03-07,C00635,Customer 635,,India,Sports,Yoga Mat,1,28.19,0.111,Debit Card
100168,2025-06-06,C00821,Customer 821,North,India,Sports,Yoga Mat,4,31.63,0.167,Credit Card
100169,2025-05-06,C02684,Customer 2684,East,India,Home & Kitchen,Table Lamp,1,49.99,0.113,UPI
100170,2024-10-28,C01856,Customer 1856,South,India,Books,Self Help Book,1,20.07,0.077,Net Banking
100171,2025-11-20,C02992,Customer 2992,West,India,Home & Kitchen,Air Fryer,2,125.07,0.115,UPI
100172,2025-07-19,C02512,Customer 2512,Central,India,Clothing,Jacket,1,124.08,0.153,Debit Card
100173,2025-10-05,C02097,Customer 2097,West,India,Electronics,Smartwatch,2,181.55,0.056,Credit Card
100174,2025-10-30,C03329,Customer 3329,South,India,Books,Data Science Book,4,45.57,0.103,UPI
100175,2025-11-25,C00635,Customer 635,East,India,Electronics,Smartwatch,1,195.45,0.034,Credit Card
100176,2026-04-24,C00629,Customer 629,,India,Electronics,Smartphone,2,704.83,0.126,UPI
100177,2026-04-13,C01128,Customer 1128,West,India,Home & Kitchen,Air Fryer,1,110.73,0.103,UPI
100178,2024-12-03,C01696,Customer 1696,West,India,Books,Self Help Book,2,24.3,0.135,Debit Card
100179,2026-01-22,C03090,Customer 3090,South,India,Books,Self Help Book,2,23.79,0.155,UPI
100180,2024-12-05,C03039,Customer 3039,West,India,Sports,Yoga Mat,2,33.87,0.063,Debit Card
100181,2025-04-15,C01391,Customer 1391,North,India,Books,Python Book,1,36.32,0.11,UPI
100182,2025-05-20,C02741,Customer 2741,West,India,Books,Fiction Book,2,18.86,0.113,Net Banking
100183,2025-12-02,C01477,Customer 1477,Central,India,Clothing,T-Shirt,2,22.02,0.064,Wallet
100184,2025-05-18,C02305,Customer 2305,Central,India,Home & Kitchen,Table Lamp,1,50.53,0.045,UPI
100185,2025-03-04,C02019,Customer 2019,North,India,Sports,Dumbbells,2,73.61,0.184,UPI
100186,2026-06-25,C00504,Customer 504,West,India,Clothing,Backpack,1,53.84,0.077,Net Banking
100187,2026-07-05,C02509,Customer 2509,North,India,Home & Kitchen,Coffee Maker,1,77.98,0.077,Debit Card
100188,2026-03-25,C01961,Customer 1961,East,India,Electronics,Smartwatch,1,193.66,0.086,Credit Card
100189,2026-06-19,C00132,Customer 132,West,India,Sports,Running Shoes,1,89.94,0.128,UPI
100190,2025-06-17,C00913,Customer 913,East,India,Electronics,Wireless Headphones,1,71.35,0.074,Credit Card
100191,2025-08-07,C01918,Customer 1918,South,India,Books,Business Book,1,28.79,0.057,UPI
100192,2024-10-10,C01507,Customer 1507,West,India,Electronics,Smartwatch,3,190.76,0.108,Wallet
100193,2024-10-07,C03390,Customer 3390,West,India,Electronics,Wireless Headphones,1,76.89,0.139,Credit Card
100194,2025-04-14,C00549,Customer 549,East,India,Sports,Yoga Mat,1,29.16,0.125,Credit Card
100195,2025-09-01,C01664,Customer 1664,East,India,Electronics,Smartphone,2,572.45,0.066,Credit Card
100196,2026-08-18,C01874,Customer 1874,West,India,Electronics,Smartwatch,2,187.95,0.04,Credit Card
100197,2025-02-09,C02636,Customer 2636,South,India,Clothing,Backpack,1,61.7,0.047,Credit Card
100198,2025-06-22,C01764,Customer 1764,North,India,Sports,Running Shoes,4,93.57,0.118,Wallet
100199,2025-10-07,C02485,Customer 2485,East,India,Electronics,Smartwatch,1,158.58,0.129,Credit Card
100200,2024-09-15,C00592,Customer 592,West,India,Home & Kitchen,Air Fryer,2,111.15,0.073,Net Banking
100201,2025-11-15,C00092,Customer 92,South,India,Sports,Football,3,38.12,0.07,UPI
100202,2025-05-11,C00072,Customer 72,North,India,Books,Business Book,2,29.87,0.034,Credit Card
100203,2026-01-19,C01902,Customer 1902,Central,India,Clothing,Jacket,5,121.6,0.096,Credit Card
100204,2025-08-11,C01494,Customer 1494,Central,India,Electronics,Wireless Headphones,2,70.31,0.138,UPI
100205,2026-08-19,C00008,Customer 8,East,India,Electronics,Smartwatch,1,159.03,0.063,Debit Card
100206,2026-08-22,C00945,Customer 945,West,India,Electronics,Smartwatch,1,173.32,0.158,UPI
100207,2025-04-22,C00374,Customer 374,Central,India,Electronics,Laptop,3,833.48,0.042,Wallet
100208,2025-11-24,C01163,Customer 1163,East,India,Clothing,Jacket,3,97.24,0.056,Credit Card
100209,2025-12-29,C01277,Customer 1277,South,India,Electronics,Wireless Headphones,2,84.58,0.091,Net Banking
100210,2026-07-15,C02720,Customer 2720,East,India,Clothing,Jacket,1,122.91,0.109,Net Banking
100211,2024-10-17,C00633,Customer 633,Central,India,Clothing,Jeans,2,52.33,0.086,Credit Card
100212,2024-09-11,C00637,Customer 637,West,India,Clothing,Jacket,1,114.57,0.114,UPI
100213,2026-01-01,C00250,Customer 250,North,India,Electronics,Smartphone,1,568.82,0.112,Credit Card
100214,2025-07-02,C00606,Customer 606,Central,India,Sports,Tennis Racket,5,89.07,0.165,UPI
100215,2024-10-18,C01537,Customer 1537,West,India,Clothing,Sneakers,1,92.43,0.104,UPI
100216,2026-08-30,C01698,Customer 1698,South,India,Sports,Football,2,33.46,0.082,Net Banking
100217,2025-07-12,C03327,Customer 3327,Central,India,Electronics,Wireless Headphones,1,72.02,0.122,Wallet
100218,2025-10-17,C02620,Customer 2620,West,India,Electronics,Smartwatch,2,176.98,0.002,UPI
100219,2025-09-19,C02757,Customer 2757,West,India,Books,Self Help Book,2,20.01,0.024,Debit Card
100220,2025-01-05,C02010,Customer 2010,Central,India,Home & Kitchen,Vacuum Cleaner,1,210.03,0.149,Debit Card
100221,2025-04-19,C02584,Customer 2584,North,India,Home & Kitchen,Cookware Set,2,143.07,0.07,Wallet
100222,2025-08-28,C03167,Customer 3167,West,India,Home & Kitchen,Vacuum Cleaner,3,244.69,0.056,Credit Card
100223,2025-07-22,C03130,Customer 3130,South,India,Clothing,Backpack,3,57.35,0.124,Credit Card
100224,2025-01-30,C02621,Customer 2621,Central,India,Books,Self Help Book,1,23.86,0.093,UPI
100225,2025-01-07,C03419,Customer 3419,Central,India,Home & Kitchen,Vacuum Cleaner,2,233.32,0.152,Wallet
100226,2025-09-11,C01509,Customer 1509,West,India,Books,Self Help Book,1,23.8,0.077,Credit Card
100227,2026-05-30,C03269,Customer 3269,West,India,Electronics,Bluetooth Speaker,2,76.8,0.17,Debit Card
100228,2025-07-22,C01232,Customer 1232,West,India,Clothing,T-Shirt,2,23.31,0.081,UPI
100229,2025-04-28,C00590,Customer 590,South,India,Clothing,Sneakers,1,87.28,0.151,Credit Card
100230,2026-06-20,C03096,Customer 3096,South,India,Electronics,Wireless Headphones,1,73.44,0.105,UPI
100231,2026-08-29,C03145,Customer 3145,North,India,Electronics,Smartwatch,1,185.92,0.055,Wallet
100232,2025-10-11,C03454,Customer 3454,West,India,Home & Kitchen,Air Fryer,2,105.55,0.096,Credit Card
100233,2026-08-22,C00376,Customer 376,East,India,Books,Self Help Book,3,25.1,0.106,UPI
100234,2025-09-11,C02215,Customer 2215,East,India,Clothing,Backpack,4,58.93,0.095,Debit Card
100235,2025-01-14,C01874,Customer 1874,South,India,Books,Data Science Book,4,42.79,0.057,Net Banking
100236,2025-04-24,C02461,Customer 2461,East,India,Sports,Running Shoes,3,81.64,0.179,Credit Card
100237,2025-07-16,C01157,Customer 1157,South,India,Home & Kitchen,Table Lamp,2,41.81,0.113,Debit Card
100238,2025-04-28,C01530,Customer 1530,Central,India,Sports,Football,3,34.53,0.0,UPI
100239,2024-11-23,C03421,Customer 3421,Central,India,Electronics,Smartwatch,1,206.27,0.111,Net Banking
100240,2026-07-12,C02077,Customer 2077,East,India,Electronics,Wireless Headphones,2,72.98,0.128,Debit Card
100241,2025-12-04,C01437,Customer 1437,West,India,Sports,Yoga Mat,4,27.79,0.0,UPI
100242,2025-07-04,C02297,Customer 2297,North,India,Sports,Dumbbells,2,70.87,0.061,Debit Card
100243,2025-08-11,C02084,Customer 2084,North,India,Electronics,Wireless Headphones,2,71.92,0.151,Net Banking
100244,2026-06-20,C03482,Customer 3482,East,India,Clothing,Backpack,2,49.07,0.109,Credit Card
100245,2025-06-08,C03414,Customer 3414,West,India,Clothing,Sneakers,3,87.28,0.109,Credit Card
100246,2025-07-14,C01272,Customer 1272,North,India,Sports,Yoga Mat,1,30.92,0.034,Credit Card
100247,2025-04-24,C01736,Customer 1736,North,India,Clothing,Sneakers,1,93.57,0.053,Debit Card
100248,2026-02-04,C02058,Customer 2058,East,India,Home & Kitchen,Table Lamp,4,39.63,0.025,UPI
100249,2025-07-09,C01278,Customer 1278,North,India,Home & Kitchen,Vacuum Cleaner,5,241.74,0.0,UPI
100250,2026-07-13,C00069,Customer 69,South,India,Home & Kitchen,Table Lamp,2,46.99,0.0,Debit Card
100251,2025-07-16,C00780,Customer 780,East,India,Clothing,Jacket,1,118.1,0.215,Debit Card
100252,2026-06-14,C03161,Customer 3161,Central,India,Sports,Running Shoes,3,98.44,0.06,Debit Card
100253,2026-08-31,C00765,Customer 765,South,India,Home & Kitchen,Table Lamp,4,38.43,0.116,Wallet
100254,2025-12-11,C03431,Customer 3431,North,India,Electronics,Smartphone,1,668.03,0.162,Debit Card
100255,2024-12-01,C02057,Customer 2057,North,India,Electronics,Smartwatch,3,161.35,0.108,Debit Card
100256,2025-10-23,C02060,Customer 2060,North,India,Sports,Dumbbells,4,78.53,0.095,UPI
100257,2026-02-04,C00994,Customer 994,West,India,Sports,Dumbbells,2,65.53,0.12,Wallet
100258,2024-09-19,C01401,Customer 1401,South,India,Electronics,Wireless Headphones,1,76.93,0.213,UPI
100259,2024-11-01,C02246,Customer 2246,North,India,Electronics,Laptop,3,787.04,0.103,Net Banking
100260,2026-06-10,C02842,Customer 2842,Central,India,Clothing,Jacket,2,116.68,0.02,UPI
100261,2026-05-17,C03170,Customer 3170,West,India,Electronics,Smartwatch,3,162.88,0.04,UPI
100262,2024-12-22,C00224,Customer 224,North,India,Sports,Dumbbells,2,61.85,0.048,Credit Card
100263,2024-10-21,C03161,Customer 3161,South,India,Home & Kitchen,Table Lamp,1,44.27,0.089,UPI
100264,2025-05-20,C02103,Customer 2103,West,India,Electronics,Laptop,5,802.07,0.034,UPI
100265,2024-10-29,C00691,Customer 691,West,India,Books,Self Help Book,2,22.02,0.067,Net Banking
